Date,Value,Anomaly
195012,74.3,0.3
195112,72.5,-1.5
195212,72.6,-1.4
195312,72.6,-1.4
195412,74.5,0.5
195512,72.2,-1.8
195612,72.6,-1.4
195712,73.4,-0.6
195812,74.6,0.6
195912,73.9,-0.1
196012,73.0,-1.0
196112,73.5,-0.5
196212,73.8,-0.2
196312,74.1,0.1
196412,71.0,-3.0
196512,71.6,-2.4
196612,73.4,-0.6
196712,72.9,-1.1
196812,72.7,-1.3
196912,73.4,-0.6
197012,72.9,-1.1
197112,71.5,-2.5
197212,73.0,-1.0
197312,72.1,-1.9
197412,73.1,-0.9
197512,71.6,-2.4
197612,72.9,-1.1
197712,74.0,0.0
197812,73.5,-0.5
197912,72.2,-1.8
198012,73.7,-0.3
198112,74.9,0.9
198212,72.1,-1.9
198312,72.7,-1.3
198412,72.8,-1.2
198512,72.9,-1.1
198612,74.4,0.4
198712,73.7,-0.3
198812,74.7,0.7
198912,75.6,1.6
199012,73.8,-0.2
199112,73.8,-0.2
199212,74.0,0.0
199312,73.9,-0.1
199412,74.2,0.2
199512,75.1,1.1
199612,75.9,1.9
199712,75.2,1.2
199812,73.1,-0.9
199912,75.0,1.0
200012,75.4,1.4
200112,75.3,1.3
200212,75.5,1.5
200312,75.8,1.8
200412,74.5,0.5
200512,75.1,1.1
200612,75.0,1.0
200712,75.9,1.9
200812,74.8,0.8
200912,75.5,1.5
201012,74.7,0.7
201112,74.8,0.8
201212,76.2,2.2
201312,75.4,1.4
201412,76.6,2.6
201512,76.2,2.2
201612,76.6,2.6
201712,77.3,3.3
201812,76.4,2.4
201912,74.9,0.9
202012,77.2,3.2
202112,76.3,2.3